video_id,title,description,channel_id,category_id,language,channel,published_at,duration,views,likes,comments,Engagement total,Taux d'engagement (%),duration_td,Durée (s)
Us88V8R3hJQ,Funny Hindi Stand Up Comedy | Men vs Women #bharatibangale #youtubeshorts #comedy #funnyvideos,"Funny Hindi Stand Up Comedy | Men vs Women #bharatibangale #youtubeshorts #comedy #funnyvideos
#shortvideotrends #viralshortclips #shortvideoeditingtips #howtomakeshorts #shortvideoideas #engagingshortstories #shortvideochallenges #creativeshortformats #shortvideomarketing #funnyshortvideocompilations",UCmrkDSDisORoz8YtPtV4ZxQ,24,hi,teamextremae,2026-01-22T10:16:09Z,PT15S,341,0,0,0,0.0,0 days 00:00:15,15
AA8lh7UWmZ0,Por favor comparte con tus amigos #pov #herramientas #sketch #gracioso #actuación #historia,,UCRD6mFoVsfki_17hQUxKzmQ,24,en,Roberts15,2026-01-22T07:32:31Z,PT25S,1768,14,0,14,0.7918552036199095,0 days 00:00:25,25
vCkuwBdTIaI,Top 5 Laurent Baffie #top5 #drôle #laurentbaffie #humour,,UCwsOlEl28NVys2rj5QzzQiA,22,fr,Lamara 🦊,2025-12-29T11:20:49Z,PT1M3S,1127721,8496,16,8512,0.7547966207953918,0 days 00:01:03,63
3hxlYGBRZfs,C'est plus simple avec le traducteur #humour #sketch #amour #couple #blague,,UCPwJrU0Xs2ewNufzHCc6Tnw,22,fr,Ton pote Gillian,2025-08-22T15:48:51Z,PT14S,2820303,71423,345,71768,2.5446911200675952,0 days 00:00:14,14
ZV--KgBHWWk,Elle l’emmène pour son anniversaire… le chauffeur connaît TOUT #shorts #humour,,UC3fm3olcv2cqzgcey5w2kuQ,23,fr,Humour French,2025-12-18T14:03:04Z,PT1M28S,308439,4057,25,4082,1.3234383459938595,0 days 00:01:28,88
7tAfjlgHH2Q,LE TEMPS AU TEMPS (spectacle complet) | Julien Lacroix,"Une pandémie, un scandale, la paternité et la sobriété. Les sujets ne manquaient pas pour ce retour sur scène. Sans délaisser la folie qui a fait sa marque, Julien aborde sans détour les sujets extrêmement délicats auxquels on s’attend, en ne tombant jamais dans l’amertume. 

Le temps au temps, 2e one-man show de Julien Lacroix, a pris forme au fil de soirées questions/réponses qu’il a tenues devant plus de 10 000 personnes en 2023. Ces soirées se sont tranquillement transformées en spectacle pour lequel il a vendu 40 000 billets et dont la captation a eu lieu à l'automne 2025 à la Salle Albert-Rousseau.

Le 3e spectacle est en rodage, pour des billets : julienlacroix.ca

0:00 Ouverture
10:29 L'île des cancellés
13:06 Travailler en construction
17:39 L'alcool
23:14 L'infidélité
27:24 L'accouchement
35:24 Papa à la maison
40:51 Les idées noires
45:48 Les choses changent
49:41 Les gars
58:22 Lettre à Léo",UCH3pTAZZ2uu0SqTauqlEPuQ,23,fr,Julien Lacroix,2025-12-11T12:56:53Z,PT1H3M7S,478654,3783,290,4073,0.8509278100673973,0 days 01:03:07,3787
A4OG5_K2HCY,Manioc comédie 🎭 - #comedy #gracemoya #dance #influenceuse #funny #cotedivoire,,UCSKZviupPE4E6VVpZDG-dvA,22,en,Rucel le mec timide 🙈 ,2025-05-16T17:00:13Z,PT28S,232833,5191,60,5251,2.2552645028840415,0 days 00:00:28,28
moBnKHTCmOk,Dites moi que vous aussi vous le faisiez ?🤣🙏 #fyp #humour #viral #shortvideo #shorts #subscribe,,UC4MYQ39pYlDV1hPfN3K9sAw,22,fr,Alicia & Toi,2026-01-21T16:00:00Z,PT11S,63758,3816,114,3930,6.163932369271307,0 days 00:00:11,11
K9Cogg8k6lQ,Live Cute Anime Sketch in Cafe 💖#AnimeArt #CuteGirl #Sketch #Drawing,"A talented artist is drawing a cute anime-style portrait of a girl in front of her. The process is so satisfying and the final result looks absolutely adorable! 🎨✨
If you love anime art, cute drawings, and sketch videos, this one is for you.

 #Artist #LiveSketch #AnimeDrawing #CartoonArt #PortraitDrawing #CuteArt #ArtVideo #SatisfyingArt #SketchArtist #ViralArt #Reels #Shorts #Creative #ArtLovers #AnimeStyle #Kawaii",UCXL6r4SqfgXCbgnpUspR0VQ,24,hi,Jani anshari ,2026-01-10T13:30:37Z,PT29S,605660,5298,26,5324,0.8790410461314929,0 days 00:00:29,29
dydbcVovRwE,Vrai ou faux? 😂 vous en êtes en quelle année vous? #humour #drole #ecole #cours #magaliequest,,UCEVqSWAwsMOK6GXW6dZmwFw,24,en,SockStealer37,2026-01-20T15:09:01Z,PT21S,144839,5470,30,5500,3.7973197826552245,0 days 00:00:21,21
VaIhTNjVY9c,Top 5 Laurent Baffie #top5 #drôle #laurentbaffie #humour,,UCwsOlEl28NVys2rj5QzzQiA,22,fr,Lamara 🦊,2026-01-14T17:01:22Z,PT48S,521012,4947,17,4964,0.9527611648100235,0 days 00:00:48,48
ReAzff97JL0,#humour,,UCRfHAw34TwH2Qv_4F0SWBxg,22,fr,Happykids,2025-09-16T18:46:18Z,PT8S,3169570,17563,0,17563,0.5541130184851574,0 days 00:00:08,8
EgppKcw1SsI,Il a morflé monsieur propre ! 👨‍🦲   #tarmaccomedy #humour #standup,,UC5hKGihDzlEnmpX7CL_b0yw,24,fr,Tarmac,2025-12-24T17:00:32Z,PT45S,120269,1443,9,1452,1.207293650067765,0 days 00:00:45,45
AG81KqMMWpc,Alexandra Pizzagali – Les femmes et les enfants d'abord,"Alexandra Pizzagali – Les femmes et les enfants d'abord

𝙀𝙉𝙑𝙄𝙀 𝘿'𝙀𝙉𝘾𝙊𝙍𝙀 𝙋𝙇𝙐𝙎 𝘿𝙀 𝙍𝙄𝙍𝙀𝙎 ?

😂 𝙉𝙤𝙨 𝙨𝙠𝙚𝙩𝙘𝙝𝙨 : Regardez les derniers sketchs du Montreux Comedy ici ➡️ https://youtube.com/playlist?list=PLE2tfoAKAJ6y2fCR8GepOV8Ow-XkFl_Ri

😍 𝙉𝙤𝙨 𝙨𝙥𝙚𝙘𝙩a𝙘𝙡𝙚𝙨 𝙘𝙤𝙢𝙥𝙡𝙚𝙩𝙨 : Découvrez les Galas Montreux Comedy en intégralité ici ➡️ https://youtube.com/playlist?list=PLE2tfoAKAJ6wV81woPdc1tyl7B5y83TOR&si=MnfYO8k2qFwMGb0M

😂⚡️😂  𝙋𝙪𝙣𝙘𝙝𝙡𝙞𝙣𝙚𝙨 : 2 artistes ont pour mission de deviner la chute de blagues mythiques entendues au Montreux Comedy Festival. À voir ici ➡️ https://youtube.com/playlist?list=PL40TWjlepv_qRz4d1wM-k2mHKfZKtXgjQ

_____________________________
Envie d'assister à la prochaine édition du Montreux Comedy Festival ?
🎫 https://bit.ly/BilletterieMCF25

_____________________________
⬇⬇⬇⬇ Abonne-toi ! ⬇⬇⬇⬇ 
Montreux Comedy sur YouTube : https://www.youtube.com/@MontreuxComedy
Montreux Comedy Encore sur YouTube : https://www.youtube.com/@LaReleveParMontreux
Facebook : https://www.facebook.com/Montreux.Comedy.Festival
Instagram : https://instagram.com/montreuxcomedy/
TikTok : https://www.tiktok.com/@montreuxcomedy
Threads : https://www.threads.net/@montreuxcomedy
X (ex-Twitter) : https://twitter.com/MontreuxComedy

Le sketch a été capté lors du Montreux Comedy Festival 2023.

#MontreuxComedy #Humour #Sketch #Comedy #StandUp",UCPHJfLg1VeNBsfzzTszpmmQ,23,fr,Montreux Comedy,2025-10-01T16:00:12Z,PT9M12S,148311,5223,110,5333,3.5958222923451397,0 days 00:09:12,552
zHjCiAh3Edw,Compilation de CAMÉRAS CACHÉES de Jean-Yves Lafesse 😂🎥 #humour #drole #prank #pourtoi #fyp,"Dans cette compilation de caméras cachées de rue de l'humoriste français Jean-Yves Lafesse, un homme et son enfant son à un marché local, l'enfant ayant alors une caisse dans ses bras laissant une occasion à Lafesse de placer une blague très fine, avant d'enchaîner sur un homme grand avec un costume visiblement trop court (surtout au niveau du pantalon), va être approché par Lafesse qui le blaguera en le nommant monsieur l'ourlet.

#shorts #shortsyoutube #blague #caméracachée",UCkPkpni62zdfSRy3mhlfReg,24,fr,Sarge Rediffusions,2025-12-23T15:01:56Z,PT14S,364737,2433,13,2446,0.6706202003087156,0 days 00:00:14,14
Yp7aG6C8ayE,Bérengère Krief – Pas facile de coucher avec une femme,"Bérengère Krief – Pas facile de coucher avec une femme

𝙀𝙉𝙑𝙄𝙀 𝘿'𝙀𝙉𝘾𝙊𝙍𝙀 𝙋𝙇𝙐𝙎 𝘿𝙀 𝙍𝙄𝙍𝙀𝙎 ?

😂 𝙉𝙤𝙨 𝙨𝙠𝙚𝙩𝙘𝙝𝙨 : Regardez les derniers sketchs du Montreux Comedy ici ➡️ https://youtube.com/playlist?list=PLE2tfoAKAJ6y2fCR8GepOV8Ow-XkFl_Ri

😍 𝙉𝙤𝙨 𝙨𝙥𝙚𝙘𝙩a𝙘𝙡𝙚𝙨 𝙘𝙤𝙢𝙥𝙡𝙚𝙩𝙨 : Découvrez les Galas Montreux Comedy en intégralité ici ➡️ https://youtube.com/playlist?list=PLE2tfoAKAJ6wV81woPdc1tyl7B5y83TOR&si=MnfYO8k2qFwMGb0M

😂⚡️😂  𝙋𝙪𝙣𝙘𝙝𝙡𝙞𝙣𝙚𝙨 : 2 artistes ont pour mission de deviner la chute de blagues mythiques entendues au Montreux Comedy Festival. À voir ici ➡️ https://youtube.com/playlist?list=PL40TWjlepv_qRz4d1wM-k2mHKfZKtXgjQ

_____________________________
Envie d'assister à la prochaine édition du Montreux Comedy Festival ?
🎫 https://bit.ly/BilletterieMCF25

_____________________________
⬇⬇⬇⬇ Abonne-toi ! ⬇⬇⬇⬇ 
Montreux Comedy sur YouTube : https://www.youtube.com/@MontreuxComedy
Montreux Comedy Encore sur YouTube : https://www.youtube.com/@LaReleveParMontreux
Facebook : https://www.facebook.com/Montreux.Comedy.Festival
Instagram : https://instagram.com/montreuxcomedy/
TikTok : https://www.tiktok.com/@montreuxcomedy
Threads : https://www.threads.net/@montreuxcomedy
X (ex-Twitter) : https://twitter.com/MontreuxComedy

Le sketch a été capté lors du Montreux Comedy Festival 2024.

#MontreuxComedy #Humour #Sketch #Comedy #StandUp",UCPHJfLg1VeNBsfzzTszpmmQ,23,fr,Montreux Comedy,2025-10-15T16:00:57Z,PT11M10S,411176,10504,308,10812,2.6295309064731405,0 days 00:11:10,670
gEmvHp4A85o,"Macron démissionne, il nous laisse brigitte 😂 #macron #humour #drole #memes #president #brigitte",Macron se tire avec l'argent 😂 #macron #humour #drole #memes #president #brigitte #jet #argent #4you #france #viral,UCN_Y3HrfqBq04TI_sW_UoPw,22,fr,larefvlog,2025-10-17T14:58:42Z,PT19S,3308317,30460,1165,31625,0.9559241148898368,0 days 00:00:19,19
QPi9sb5u2So,Je suis perdu là... #humour #sketch #couple #famille #rigolo #parent,,UCPwJrU0Xs2ewNufzHCc6Tnw,22,fr,Ton pote Gillian,2025-05-09T15:42:26Z,PT18S,4290897,93541,398,93939,2.1892625248287247,0 days 00:00:18,18
Ghu5ATelGZA,Por favor comparte con tus amigos #pov #herramientas #sketch #gracioso #actuación #historia,,UCBU_QLi5L4AJY6YOY4rsn7w,22,id,ffufhfuiejeijhf,2026-01-20T09:06:35Z,PT1M32S,26995,238,2,240,0.8890535284311909,0 days 00:01:32,92
E_FY-t-db40,"👉 “Saturday Facebook, Sunday WhatsApp बंद 😂 | Marriage Comedy Stand Up #standupcomedy@shaluprank","👉 “Saturday Facebook, Sunday WhatsApp बंद 😂 | Marriage Comedy Stand Up #standupcomedy‎⁨@shaluprank⁩ 
@gurleenpannu
@standupshorts69
@taazaphool
@shreyapriyam83
@MrBeast 
@MRINDIANHACKER 

🎤 Richa On Mic ek viral YouTube Shorts channel hai jahan milti hai stand-up comedy, funny punchlines, aur AI-powered comedy videos ka perfect mix 😄🔥

Is channel par aap dekhenge:
✨ Relatable Indian standup comedy
✨ Girl stand-up comedian funny shorts
✨ AI comedy videos, cinematic animation & realistic expressions
✨ Short, sharp & viral comedy reels

Agar aapko pasand hai funny shorts, standup comedy clips, AI generated comedy, aur trending YouTube Shorts, to Richa On Mic aapke liye perfect jagah hai 🎯

👉 Subscribe karo for daily laughs, savage punchlines & viral comedy content 🚀😂

Keywords used:
standup comedy shorts, AI comedy video, girl standup comedian, funny shorts india, viral comedy shorts, AI standup comedy, Indian comedy reels, Richa On Mic

#RichaOnMic  
#gurleenpannu
#aakashgupta
#Anubhavsinghbassi
#DoubleMeaningShayari  
#ComedyWithThoughts  
#StandUpComedyIndia  
#AIComedy  
#AIViralVideo  
#HeadphoneLagao  
#ThoughtsVideo  
#ViralThoughts  
#ComedyShortsHindi  
#FemaleStandup  
#DesiStandUp  
#MicComedyShow  
#RelatableContent  
#TrendingShorts  
#YouTubeViral  
#ReelsIndia  
#SmartComedy  
#CleanDoubleMeaning  
#StandUpComedy  
#ComedyVideo  
#ComedyShorts  
#StandupComedian  
#IndianComedy  
#HindiComedy  
#DesiComedy  
#FunnyVideo  
#ViralComedy  
#ComedyReels  
#YouTubeShorts  
#ShortsViral  
#RelatableComedy  
#CleanComedy  
#LiveComedy  
#ComedyLife  
#ComedyLovers  
#TrendingReels  
#ViralShorts  
#IndianYouTuber  
#ComedyIndia  
#FunnyShorts  
#ObservationalComedy  
#ThoughtBasedComedy  
#AIShorts  
#DigitalComedy  
#StandupShorts

stand up comedy india  
comedy shorts hindi  
shayari comedy  
double meaning shayari  
clean comedy shorts  
female stand up comedian  
mic based comedy  
relatable comedy india  
viral comedy shorts  
trending youtube shorts  
thought based comedy  
hindi comedy channel  
ai comedy video  
ai viral shorts  
headphone comedy video  
funny shayari hindi  
desi standup comedy  
shorts viral india  
youtube shorts comedy  
richa on mic  
hindi stand up comedy  
comedy shayari shorts  
viral stand up comedy  
new comedy shorts 2026  
female comedian india  
desi comedy reels  
mic open comedy  
smart comedy content  
clean humor india  
trending comedy reels  
thoughts viral video  
motivational comedy  
relatable shayari  
ai generated comedy video  
ai reels comedy  
headphone required video  
instagram reels comedy  
youtube reels india  
short comedy video  
standup comedy shorts india",UC_DOsRjGuEufUE92fooT3sw,23,hi,Richa On Mic ,2026-01-22T08:55:00Z,PT31S,1267,0,0,0,0.0,0 days 00:00:31,31
zJYZNIT2_NY,La SOIRÉE de François Damiens... 🕺🤣 #shorts #humour #drole #pourtoi #viral #fyp,"Dans cette célèbre caméra cachée culte et virale de François l'Embrouille, notre acteur et humoriste François Damiens décide aujourd'hui de piéger des touristes français dans le Sud la France. François Damiens prank les touristes en se faisant passer pour un agent de l'office de tourisme. Une vidéo humoristique très drôle et hilarante.

#shorts #shortsyoutube #humour #caméracachée #francoisdamiens #prank #video",UCkPkpni62zdfSRy3mhlfReg,24,fr,Sarge Rediffusions,2025-12-29T11:02:00Z,PT1M,267696,3127,56,3183,1.1890353236507083,0 days 00:01:00,60
HNqOFinFyD0,Les Bodin’s et la royauté,"Choisis par le roi et la reine de Belgique pour animer la soirée célébrant leurs noces d’argent, les Bodin’s se préparent pour un grand événement au palais royal. 
À cette occasion, ils s’entraînent en révisant l’histoire du pays… et ce n’est pas gagné d’avance !



Abonnez-vous ici : 
👉 Site officiel: http://www.voorire.be/
👉 YouTube: youtube.com/channel/festivalduriredeliege
👉 Facebook: https://www.facebook.com/VooRireDeLiege
👉 Instagram: https://www.instagram.com/festivalduriredeliege/
👉 TikTok: https://www.tiktok.com/@festivalduriredeliege",UC4mErnnmoB7P1saPyCfN3pQ,23,fr,Festival International du Rire de Liège,2025-09-04T16:00:35Z,PT7M1S,235298,1969,45,2014,0.8559358770580285,0 days 00:07:01,421
OUhHdzTzgVI,Je précise c’est de l’#humour ou pas 😂 #ex #manipulateur,Je te partage ma vie #missdarkito #darkito #teamkito,UCGGKARknrjQnQ7dpeb1oK6w,22,fr,Miss Darkito,2026-01-18T16:47:17Z,PT9S,18069,805,22,827,4.576899662405225,0 days 00:00:09,9
a6UQ6FhNvOs,"Urbain à L’européen- Spectacle Entier-Saison1, Episode 1","Ben voila on y est. Voici la captation de mon premier spectacle. On a eu mille soucis techniques mais on a enfin réussi à vous sortir le fruit de 10 ans de standup. Ce spectacle je l’ai joué 5 ans, il s’est terminé y’a un an et maintenant il est à vous. Merci de spammer les comms, les partages et tout et tout j’ai besoin de vous",UCTIFEgvtjvXgURqyzrA2qig,23,fr,Urbain,2025-12-26T14:30:47Z,PT1H4M43S,151763,7844,960,8804,5.801150478048009,0 days 01:04:43,3883
YPdTE_tFJ4Q,#ytbshorts #humour #robloxfunny #sketch #lifeisbutadream #robloxjokes #funny,,UCzpPTzezfZj9x1KnWHzTs0A,22,fr,Tú Nguyễn Hoàng,2025-12-21T00:33:58Z,PT55S,1699386,30375,142,30517,1.795766235569788,0 days 00:00:55,55
50A2biAKlaI,Buuuuut ! 😂 #short #TomAndJerry #humour,"--
N'oublie pas de t'abonner à la chaîne YouTube Boomerang France, en cliquant sur le logo de la vidéo. Et active les notifications en cliquant sur la 🔔 juste au-dessus. 

N'oublie pas de liker la vidéo ! 😉

Tu peux aussi t’abonner à la chaîne juste ici :
http://urlz.fr/7SuZ

Suis nous sur Instagram:
https://www.instagram.com/boomerangtv_france/

Visite le site web de la chaine Boomerang France :
http://www.boomerangtv.fr

Deviens fan de la page Facebook Boomerang France :
https://www.facebook.com/BoomerangTVFrance

Bienvenue sur la chaîne YouTube officielle de Boomerang France. Retrouvez ici les vidéos trop marrantes, les extraits rigolos et les bandes-annonces de vos séries préférées :  Bunnicula, Bugs et les Looney Tunes !, Bugs Découvertes, Les recettes de Bugs,Trop cool Scooby-Doo!, Mr Bean, Inspecteur Gadget, Tom et Jerry, Titi et Grosminet, Shaun le mouton, Garfield, Les As de la Jungle, La Chouette et compagnie, La Panthère Rose, The Happos Family, Taffy, Les Tutos boomerang et bien d’autres !",UCJZ35DzvSPelEvLtFMQiOpw,1,fr,Boomerang France,2022-11-10T15:00:02Z,PT21S,135494638,1083159,0,1083159,0.7994109700488664,0 days 00:00:21,21
rhI6dABG-Lg,#illustration #tattoo #pov #procreate #drawing #whydidntmyexcomeback #digitalart #humour #school,,UCd-wgSCETOWtFTmC1BtddyA,22,fr,Vanderleia Ricardo,2026-01-16T02:26:54Z,PT24S,1351228,16085,41,16126,1.193432936558449,0 days 00:00:24,24
6A1pH5wZsOE,L'Antillais et L'Accident de Voiture | Dieudonné Humour,"Bienvenue sur Le club du rire !
Chaque jour, retrouve le meilleur du stand-up francophone pour ta dose de rire quotidienne. Sketchs, vannes, moments cultes… on te sélectionne la crème de la crème !
🧠 Passion 100% Stand-up Cette chaîne est une initiative de fans pour célébrer l'humour français. Notre objectif unique est de partager et mettre en lumière le talent de nos artistes.

Creative Commons : Dieudonné
Pour accéder à son site (ps: allez le voir il est genial) : https://dieudosphere.com/


📌 Crédits & respect des créateurs
Tous les droits reviennent aux humoristes, auteurs, producteurs et ayants droit concernés. Si vous êtes l’un d’eux et souhaitez une mention spécifique ou un retrait, contactez-nous : on respecte votre travail.
mail : felixmitard@gmail.com

#comédie #humour #humoristefrancais #standup #blague #drole #sketch #dieudonné",UCL4rVyHb0WhmM9b-P-Cpqsw,23,fr,Le Club Du Rire,2025-12-26T07:00:05Z,PT4M51S,79736,1808,90,1898,2.3803551720678238,0 days 00:04:51,291
O3q8KuikDGQ,🤣 Audience Shocked! Double Meaning Stand Up Comedy  Samdrup Comedy  #comedy  #standupcomedy,"🤣 Audience Shocked! Double Meaning Stand Up Comedy  Samdrup Comedy  #comedy  #standupcomedy 

इस वीडियो में आप देखेंगे एक ज़बरदस्त Hindi Stand-Up Comedy Performance,
जहाँ देसी अंदाज़, डबल मीनिंग जोक्स और लाइव ऑडियंस का रिएक्शन आपको हँसने पर मजबूर कर देगा 😂

अगर आपको Indian Stand-Up Comedy,
Desi Jokes,
और Funny Comedy Videos पसंद हैं,
तो यह वीडियो आपके लिए है 🔥

👉 वीडियो को LIKE करें
👉 चैनल को SUBSCRIBE करें
👉 और दोस्तों के साथ SHARE ज़रूर करें

आपका सपोर्ट ही हमें और अच्छा कंटेंट बनाने की ताक़त देता है ❤️

Channel: Samdrup Comedy
Category: Stand-Up Comedy | Hindi Comedy

stand up comedy
hindi stand up comedy
indian stand up comedy
desi comedy
funny comedy video
double meaning jokes hindi
samdrup comedy
stand up comedy hindi
best comedy video
comedy video hindi
live stand up comedy
female stand up comedy india
new comedy video 2026


#StandUpComedy
#HindiComedy
#SamdrupComedy
#DesiJokes
#ComedyVideo
#IndianComedy",UC73g3VsaHZS4LKdCen6pgxQ,23,hi,Samdrup Comedy,2026-01-22T06:20:29Z,PT43S,842,21,0,21,2.494061757719715,0 days 00:00:43,43
-u89ceVEzQg,Trump kidnappe un président ! #humour #humoristefrancais #standup,Il est long cet épisode de South Park mais divertissant,UC8OqosxoS6Lggr5zj9pFi3Q,23,fr,Rodrigue,2026-01-12T18:00:00Z,PT1M23S,149841,2182,60,2242,1.496252694522861,0 days 00:01:23,83
DcQeMZo_T_E,Top 5 Laurent Baffie #top5 #drôle #laurentbaffie #humour,,UCwsOlEl28NVys2rj5QzzQiA,22,fr,Lamara 🦊,2025-12-23T12:12:18Z,PT1M1S,834988,5957,11,5968,0.7147408106463806,0 days 00:01:01,61
4xx9yMDvPyc,Si les pays pouvaient parler… (partie 8) #humour #sketch #drapeau #short,,UCEKCFBqtA2aLkCeNldaOIWA,22,fr,Miel tropical Shorts,2025-10-11T12:23:18Z,PT40S,605953,20658,427,21085,3.4796428105810184,0 days 00:00:40,40
cq3_6VLblb8,Elle aurait pas dû demander à maman 🤣😅 #family #humour#fun,,UCJsxCFwSEejhVQH644dTvTQ,23,fr,familleenxl,2025-12-09T16:45:06Z,PT1M7S,3930227,72002,468,72470,1.8439138502686994,0 days 00:01:07,67
